;Low-FVB-youngest;Low-FVB-middle;Low-FVB-oldest;Low-DUHi youngest;Low-DUHi-middle;Low-DUHi-oldest;Up-FVB-youngest;Up-FVB-middle;Up-FVB-oldest;Up-DUHi-youngest;Up-DUHi-middle;Up-DUHi-oldest;baseMean;log2FC;padj;
Rps3a2;50,78327143;71,24027261;47,49758644;19490,6134;18091,24712;16874,1166;179,1433095;64,14326136;35,29277865;17760,53899;19303,30981;14845,35183;8901,10652;7,887930649;2,71E-113;0,004221787
1110004E09Rik;658,1511977;633,4608024;629,619169;710,9012068;701,0808439;679,5130173;602,733401;641,4326136;605,8593668;695,301333;648,0810401;650,7406542;654,7395538;0,112997116;0,108525385;0,924665127
1110004F10Rik;6110,243219;6915,119975;6035,507262;6055,185249;6063,629011;6049,857832;5689,344417;6117,334049;5719,782993;5887,724632;6367,612246;5739,215135;6062,546335;-0,016799495;0,878747908;1,011712584
1110008F13Rik;2736,879775;2446,236928;2628,936179;2964,535774;2552,222387;2571,463576;2490,356746;2520,918039;2429,319597;2602,511744;2375,433039;2155,38002;2539,51615;-0,003092939;0,985425494;1,002146162
1110008L16Rik;613,4619189;737,4330922;577,7032025;716,0839617;612,2452575;637,0434538;591,2611694;610,6789951;641,1521455;611,6818976;667,9555254;550,2197401;630,5766966;0,010964526;0,956034736;0,992428777
1110008P14Rik;530,854464;366,7911333;410,9093524;503,5910129;558,2236171;439,765481;519,7803415;492,0578953;495,275327;575,0268026;413,9077576;484,6166172;482,5666502;0,077225969;0,712465081;0,947878488
1110012L19Rik;624,9727937;602,654198;635,1421442;557,1461463;573,8298688;601,4238198;611,5581946;655,4914106;604,6829408;585,336048;669,6837415;494,1396512;601,3384131;-0,100841087;0,356455561;1,072398486
Rps24-ps3;11,51087486;22,14224689;38,66082617;4851,922331;4451,383166;4259,286232;41,47652979;15,81614664;4,70570382;4042,369694;4976,39828;3769,00522;2207,056438;7,617885307;4,09E-82;0,005090823
1110032F04Rik;310,7936212;309,0287501;299,345254;328,2411405;307,3231096;228,787649;299,1605021;377,8301696;308,2236002;329,8958549;348,2355456;262,4124914;309,106474;-0,073451014;0,721305554;1,052230675
1110034G24Rik;216,6752914;215,6462306;246,3246924;206,4464015;202,8812716;227,4176631;226,7971948;208,2459307;230,5794872;237,1126457;206,5218248;170,3564965;216,2504275;-0,104358576;0,504736817;1,07501633
1110037F02Rik;5666,735981;6519,44765;6003,474006;5801,230261;5899,163128;6262,20565;5445,780114;5685,026041;5478,615672;5718,194818;6103,195182;6177,274698;5896,695267;0,047355021;0,577500618;0,967708862
Gm13693;12,18798514;23,10495328;18,77811557;2917,027188;2882,354634;2619,413083;20,29702522;13,1801222;19,99924123;2940,425901;3268,920767;2912,990278;1470,723274;7,386063819;0;0,005978239
Gm13694;12,18798514;23,10495328;18,77811557;2917,027188;2882,354634;2619,413083;20,29702522;13,1801222;19,99924123;2940,425901;3268,920767;2912,990278;1470,723274;7,386063819;0;0,005978239
1110059E24Rik;1392,815858;1665,482049;1377,430007;1378,61279;1314,526582;1332,996302;1364,313086;1398,850302;1348,184144;1185,563228;1547,617524;1203,076624;1375,789041;-0,101282859;0,3984154;1,072726918
1110059G10Rik;685,2356092;915,5337737;747,8108376;684,9874326;715,4866147;628,8235382;707,7484446;730,1787697;679,974202;711,337937;859,7875133;685,6584454;729,3802598;-0,057376973;0,742271463;1,04057213
1110065P20Rik;924,9326503;727,8060283;901,3495472;1024,457875;1067,227517;872,6810324;993,6717563;977,965067;903,4951334;1077,888887;882,2543227;1086,683987;953,367817;0,146480098;0,255770978;0,903452027
1190002N15Rik;5922,006559;7383,957985;7507,932442;7033,862123;6581,036278;7971,948081;6075,870375;7971,337904;9019,657797;6757,137666;7612,791952;8686,065089;7376,967021;0,025067736;0,916939254;0,982774455
1190005I06Rik;79,89901372;61,61320874;85,05381757;105,3826819;98,43943356;68,4992961;99,72016738;91,38218056;65,87985348;131,7292476;111,4699389;111,1020629;92,51424187;0,375535627;0,113881358;0,770819179
1190007I07Rik;113,0774177;109,7485281;91,68138777;108,8378518;128,451456;94,52902862;110,3099197;96,65422944;108,2311879;106,5288698;125,2956678;106,8696034;108,3512623;0,091680289;0,675738098;0,938429136
1300017J02Rik;10,15665429;14,4405958;22,09190067;11,22930217;8,403366279;20,54978883;12,354711;16,69482145;12,9406855;18,32754749;13,82572886;3,174344654;13,68245392;-0,235489009;0,759740754;1,177305723
Gm13696;12,18798514;23,10495328;18,77811557;2917,027188;2882,354634;2619,413083;20,29702522;13,1801222;19,99924123;2940,425901;3268,920767;2912,990278;1470,723274;7,386063819;0;0,005978239
1500011B03Rik;671,6934035;589,1763086;545,6699465;541,5978817;541,4168846;523,3346222;608,0282772;585,1974255;565,8608843;615,1183127;590,1858006;526,9412126;575,3517467;-0,097313759;0,364386673;1,06977972
1500011K16Rik;277,6152172;249,3409541;250,7430726;284,1877242;270,1082018;265,7772689;271,8036421;273,2678669;264,6958399;306,9864205;225,532202;233,8433895;264,4918166;-0,005419486;0,981159269;1,003763566
Gm13697;12,18798514;23,10495328;18,77811557;2917,027188;2882,354634;2619,413083;20,29702522;13,1801222;19,99924123;2940,425901;3268,920767;2912,990278;1470,723274;7,386063819;0;0,005978239
Gm13698;12,18798514;23,10495328;18,77811557;2917,027188;2882,354634;2619,413083;20,29702522;13,1801222;19,99924123;2940,425901;3268,920767;2912,990278;1470,723274;7,386063819;0;0,005978239
1600002K03Rik;157,0895863;161,734673;180,0489904;162,3929853;144,0577076;167,1382825;168,5535572;206,4885811;209,40382;164,9479274;185,7832315;172,4727262;173,3426724;-0,112238088;0,545055776;1,080903769
Vcp-rs;65,67969772;119,3755919;70,69408214;16120,95896;15308,5324;15193,14388;136,7843004;72,93000949;132,9361329;15182,08215;15766,51554;14680,28591;7737,493222;7,276231858;0;0,006451132
1600014C10Rik;606,0137057;687,3723601;711,3592015;603,7909399;662,6654552;554,8442984;694,5112542;735,4508186;755,2654631;655,2098228;610,9243938;638,0432755;659,6209157;-0,166267429;0,067906633;1,122151472
1600029O15Rik;33,178404;30,80660437;38,66082617;17,2758495;25,21009884;28,76970436;30,88677751;21,96687033;38,82205651;32,07320811;36,29253825;20,10418281;29,50392673;-0,278219027;0,507592735;1,212696914
1700001C19Rik;27,08441143;35,62013631;9,9413553;14,68447207;13,20528987;17,80981699;18,5320665;21,96687033;24,70494505;12,6001889;9,505188589;14,81360839;18,37236248;-0,757203027;0,092544953;1,690210611
1700001L19Rik;13,54220571;10,58977025;8,836760267;11,22930217;15,60625166;6,84992961;13,23719036;9,665422944;8,234981685;20,61849093;7,776972482;11,63926373;11,48554515;0,177646729;0,813808967;0,884144004
1700001O22Rik;168,6004612;141,5178388;174,5260153;164,9843627;180,0721346;209,6078461;210,9125664;203,8525566;214,1095238;231,3852871;178,8703671;213,7392067;191,0148472;0,080018005;0,743423504;0,94604584
1700003E16Rik;150,9955937;108,7858217;133,655999;115,7481916;115,2461661;117,8187893;136,7843004;130,9225471;167,0524856;174,1117012;101,1006423;179,8795304;136,0084807;-0,044266395;0,909294724;1,031158706
1700003F12Rik;12,86509543;24,06765967;15,46433047;23,32239682;26,41057974;20,54978883;16,76710779;25,48156958;23,5285191;33,21867983;26,78734966;29,62721677;23,17419114;0,45042894;0,246804958;0,73182523
1700007G11Rik;8,802433715;17,32871496;9,9413553;15,54826455;10,80432807;9,589901455;9,70727293;8,786748131;8,234981685;8,018302028;24,1950255;8,464919078;11,61852062;0,316512839;0,662587509;0,803008498
1700007K13Rik;50,10616115;34,65742992;30,92866093;44,91720869;22,80913704;31,50967621;38,82909172;34,26831771;43,52776033;41,23698186;22,46680939;25,39475724;35,05433268;-0,305617889;0,438292557;1,235947865
1700008O03Rik;16,25064686;21,17954051;19,8827106;27,6413592;22,80913704;31,50967621;22,94446329;24,60289477;24,70494505;30,92773639;29,37967382;34,9177912;25,56254791;0,4617827;0,155455843;0,726088496
Rps2-ps13;19,63619829;25,03036605;38,66082617;20463,24373;81,632701;17,80981699;87,36545637;22,84554514;91,76122449;20851,02169;50,1182671;12,69737862;3480,151933;7,184214391;7,97E-06;0,006876002
Tpm3-rs7;77,86768286;88,56898757;141,3881643;12062,86191;11044,42425;11709,26968;98,83768802;93,13953019;89,40837258;10932,38208;11454,61636;10959,95398;5729,393223;6,870784502;0;0,008544522
1700019D03Rik;126,6196234;134,7788941;131,446809;166,7119477;154,8620357;100,0089723;172,965954;154,6467671;163,5232077;145,4749082;172,8216107;148,1360839;147,6664012;0,016565031;0,962346261;0,988583662
1700020D05Rik;18,28197772;12,51518303;28,71947087;29,36894415;16,80673256;28,76970436;34,41669494;19,33084589;34,11635269;30,92773639;27,65145771;33,85967631;26,23039805;0,19921029;0,716900015;0,87102722
1700020L24Rik;65,00258743;69,31485984;69,5894871;63,05685067;45,61827409;52,05946504;61,77355501;76,44470874;79,99696494;48,10981217;46,66183489;64,54500797;61,84778399;-0,389067702;0,066094315;1,309546875
1700021F05Rik;857,898732;950,1912036;809,6681595;871,5666071;807,9236437;857,6111872;902,7763825;822,439625;755,2654631;774,3388815;922,0032931;821,0971506;846,0650274;-0,012482638;0,937837752;1,008689845
1700023F06Rik;51,46038172;39,47096185;38,66082617;39,73445384;42,0168314;39,72959174;75,01074537;78,20205836;124,7011512;74,45566169;58,75934764;71,95181217;61,17948526;-0,313463231;0,542940226;1,242687229
1700024J04Rik;17,60486743;16,36600857;35,34704107;30,23273662;32,41298422;21,91977475;22,94446329;24,60289477;22,35209314;21,76396265;20,73859328;35,97590608;25,18844382;0,242311106;0,609646525;0,845389966
1700024P16Rik;20,31330857;33,69472353;18,77811557;25,91377425;21,60865615;28,76970436;20,29702522;18,45217107;12,9406855;11,45471718;17,28216107;19,04606793;20,71259253;-0,015345399;0,983964337;1,01069339
1700025G04Rik;4131,726964;4584,407813;4270,364399;4117,698728;4444,180281;4533,283416;4415,926704;4154,374516;4162,195029;4422,666304;4897,764447;4856,747321;4415,94466;0,084709336;0,245862148;0,942974501
1700027J19Rik;456,3723326;337,9099417;436,3150382;435,3514073;487,3952442;479,4950727;429,767447;377,8301696;401,1612506;512,0258581;413,0436496;496,255881;438,5769411;0,20704573;0,08321867;0,866309396
1700028J19Rik;27,76152172;30,80660437;32,03325597;28,50515167;37,21490781;26,02973252;30,88677751;32,51096808;35,29277865;18,32754749;25,92324161;22,22041258;28,95940833;-0,253122322;0,490914221;1,191783618
1700028K03Rik;12,18798514;20,21683412;14,35973543;11,22930217;8,403366279;17,80981699;14,11966972;22,84554514;14,11711146;11,45471718;12,09751275;8,464919078;13,94220962;-0,505133064;0,314499542;1,419254252
1700029I15Rik;54,16882286;60,65050236;60,75272684;60,46547324;76,83077741;65,75932426;47,65388529;66,77928579;56,46844584;61,85547279;51,84648321;66,66123774;60,8243698;0,140260071;0,61343461;0,907355574
Gm8822;16,92775714;29,84389799;18,77811557;1861,472783;1587,035746;1649,46305;13,23719036;13,1801222;16,46996337;1339,056439;1838,821938;1151,228995;794,6263331;6,451557109;6,77E-241;0,011425831
1700030C10Rik;23,69886;9,627063866;12,15054537;25,04998177;12,00480897;16,43983106;12,354711;19,33084589;10,58783359;19,47301921;9,505188589;20,10418281;15,86057268;0,204923059;0,769115439;0,867584956
1700030J22Rik;142,8702703;145,3686644;129,2376189;105,3826819;127,2509751;136,9985922;153,5514082;146,7386938;163,5232077;144,3294365;143,4419369;140,7292797;139,9518971;-0,145431986;0,412679422;1,106061792
1700030K09Rik;860,6071732;874,1373991;832,8646552;819,7390587;859,5443223;727,4625246;845,4152243;861,9799916;907,0244113;827,0305806;918,5468609;816,8646911;845,9347411;-0,05703799;0,554715754;1,040327661
1700037C18Rik;121,2027411;145,3686644;149,1203295;143,3895508;132,0528987;143,8485218;176,4958715;154,6467671;175,2874673;186,7118901;148,6265852;168,2402667;153,7492962;0,006182484;0,984166428;0,995723798
1700037H04Rik;1925,701653;1621,197555;1690,030401;1719,810817;1786,315575;1956,339897;1873,503676;1751,198902;1751,698247;1715,916634;1557,122712;1812,550798;1763,448906;-0,011272398;0,939218178;1,007844035
1700040L02Rik;18,28197772;16,36600857;13,2551404;14,68447207;8,403366279;19,17980291;23,82694265;14,93747182;17,64638932;10,30924546;12,09751275;13,7554935;15,22865196;-0,424174505;0,379292797;1,341804516
1700056E22Rik;17,60486743;9,627063866;24,30109073;22,45860435;20,40817525;9,589901455;18,5320665;18,45217107;21,17566719;12,6001889;11,2334047;25,39475724;17,61482989;-0,093186967;0,902282312;1,066724014
1700061G19Rik;36,56395543;49,09802572;57,43894174;28,50515167;20,40817525;26,02973252;23,82694265;42,17639103;31,76350078;36,65509498;26,78734966;29,62721677;34,07337318;-0,512579875;0,14728896;1,426599007
1700066B19Rik;11,51087486;13,47788941;12,15054537;33,68790652;16,80673256;17,80981699;7,059834858;11,42277257;10,58783359;16,03660406;17,28216107;13,7554935;15,13237211;0,818242938;0,070928417;0,567132234
1700066M21Rik;1017,696759;1192,793213;932,2782082;1111,700915;1075,630884;823,3615392;838,3553894;1053,531101;1007,020617;839,6307695;1141,486739;1155,461454;1015,745632;0,026407313;0,915862883;0,981862349
Gjb4;10,15665429;3,850825547;8,836760267;1019,27512;997,5996255;920,6305396;21,17950458;13,1801222;12,9406855;1136,307945;1055,940041;949,1290517;512,4189063;6,428877786;1,70E-261;0,011606865
1700088E04Rik;201,7788652;204,093754;235,2787421;221,994666;170,4682874;223,3077053;219,73736;235,4848499;298,8121926;203,8939659;231,5809583;174,588956;218,4183585;-0,17973788;0,339804827;1,132678073
1700092M07Rik;10,15665429;15,40330219;12,15054537;13,8206796;21,60865615;12,3298733;11,47223165;10,54409776;24,70494505;12,6001889;15,55394496;19,04606793;14,94926559;0,196196875;0,759118589;0,872848471
1700102P08Rik;48,07483029;47,17261294;40,87001623;44,91720869;34,81394601;46,57952135;46,77140594;43,93374065;31,76350078;56,12811419;55,30291543;45,49894005;45,15222938;0,125108698;0,717673689;0,916934956
Masp2;15,57353657;6,738944706;20,98730563;627,1133368;552,2212127;439,765481;17,64958715;16,69482145;24,70494505;702,1741633;644,6246079;622,1715523;307,5349579;5,157138402;5,06E-151;0,028025066
Tmem181b-ps;69,06524915;61,61320874;54,12515664;2180,212207;2220,88966;1872,770755;77,65818344;53,5991636;67,05627943;2230,233435;2071,267004;2028,406234;1082,241378;5,032719578;0;0,030549243
1700128F08Rik;24,37597029;19,25412773;17,67352053;23,32239682;28,81154153;32,87966213;17,64958715;14,05879701;21,17566719;25,2003778;22,46680939;39,15025074;23,83489236;0,572800793;0,103352939;0,672310323
1810009A15Rik;1270,258896;1082,081979;1019,541216;1330,240411;1176,471279;1187,777794;1231,058703;1131,733159;1084,66473;1229,091154;1121,612253;1135,357271;1166,657404;0,072768226;0,513830581;0,950811841
1810010H24Rik;26,40730114;28,8811916;40,87001623;28,50515167;22,80913704;21,91977475;56,47867887;47,44843991;34,11635269;29,78226467;31,97199798;22,22041258;32,61755993;-0,563010125;0,104670716;1,477348432
1810011O10Rik;1061,031818;1306,392567;1251,506173;1141,933652;1266,507346;1157,638104;1315,776722;1477,052361;1467,003166;1168,381153;1475,032447;1176,623752;1272,073272;-0,091506372;0,55036718;1,065482112
Gm10600;17,60486743;3,850825547;32,03325597;613,2926572;518,6077475;530,1845518;21,17950458;18,45217107;22,35209314;546,3900096;485,6287261;743,854764;296,1192645;4,914350509;2,34E-103;0,033161418
1810014B01Rik;262,0416806;293,6254479;246,3246924;275,5497995;300,1202243;331,5365931;253,2715755;241,6355736;281,1658032;297,8226467;320,5840879;280,4004445;282,0065474;0,19359142;0,080364388;0,874426228
Gm14305;3,385551429;34,65742992;56,3343467;634,887469;517,4072666;741,1623838;3,529917429;29,87494364;2,35285191;533,7898207;843,3694602;579,8469569;331,7165332;4,892049926;3,54E-11;0,033677995
1810024B03Rik;70,41946972;65,46403429;62,9619169;86,37924749;48,01923588;46,57952135;90,01289445;68,53663542;78,82053898;63,0009445;69,12864428;74,06804194;68,6159271;-0,157908583;0,622532959;1,115668625
1810030O07Rik;2419,992161;3022,898054;2508,535321;2700,215276;2539,017097;2511,184195;2500,946499;2596,484073;2550,49147;2626,56665;2835,138524;2406,153248;2601,468547;0,002620558;0,986025807;0,998185216
Cwc22;2292,018317;2843,834666;2409,121768;71344,07567;70533,05463;63581,04664;2438,290464;2519,160689;2369,321873;69580,53405;79452,1432;68778,52563;36511,76063;4,831106526;0;0,035131122
1810037I17Rik;2002,215115;1657,780398;1690,030401;1647,25225;1683,074218;1679,60274;1880,56351;1906,724344;1621,114966;1754,862672;1650,446382;1625,264463;1733,244288;-0,101831245;0,239290453;1,073134752
Gm3883;2,031330857;6,738944706;16,5689255;274,686007;134,4538605;152,0684374;17,64958715;13,1801222;10,58783359;147,7658517;222,9398778;261,3543765;105,0020962;4,18813513;1,66E-31;0,054858724
1810043G02Rik;1079,990906;1020,46877;1107,908818;1039,142347;1090,036655;1002,829695;1171,050107;1145,791956;1242,305808;1166,090209;1101,737768;1208,367198;1114,643353;-0,032949991;0,791294648;1,023102005
1810049J17Rik;310,7936212;152,1076091;352,3658156;374,0221416;373,349559;328,7966213;328,2823209;407,7051133;363,5156201;334,4777417;201,3371765;359,7590608;323,8760334;0,041797836;0,93186635;0,971443614
1810055G02Rik;1908,773896;1574,987649;1780,607194;2036,822656;2222,09014;1775,501755;1760,546318;1823,250237;1723,464024;2083,613056;1708,341622;2094,009357;1874,333992;0,172529102;0,074674602;0,887285869
Il11ra2;16,92775714;35,62013631;15,46433047;364,5204244;343,3375366;409,6257907;56,47867887;24,60289477;0;395,1877428;328,3610603;490,9653066;206,7576382;3,961761448;8,70E-11;0,064178708
Il1f9;125,2654029;160,7719666;144,7019494;2293,369021;2306,123803;2086,488559;140,3142178;144,1026693;125,8775772;2034,357772;2241,496291;2094,009357;1158,073216;3,959949239;0;0,064259375
2010109I03Rik;65,67969772;111,6739408;69,5894871;63,05685067;81,632701;65,75932426;83,83553894;52,72048879;69,40913134;72,16471825;67,40042818;75,12615682;73,17070533;-0,091620017;0,808007363;1,065566046
2010111I01Rik;2466,712771;2731,198019;2511,849106;2384,067231;2241,297835;2434,464984;2385,341703;2603,513471;2281,089927;2298,961739;2510,233896;2006,185822;2404,576375;-0,110521876;0,220029008;1,079618704
Dynlt1b;289,8032023;2,88811916;201,0362961;4255,041731;4052,823509;3979,809104;393,5857934;321,5949816;459,9825484;4655,197063;4127,844172;4168,972646;2242,381597;3,918789957;9,22E-08;0,066119061
2010315B03Rik;255,2705777;313,842282;287,1947087;232,3601757;253,3014693;267,1472548;270,0386833;269,7531676;323,5171376;254,2947215;308,4865751;265,5868361;275,0661325;-0,115560374;0,447848065;1,083395778
Gm7340;50,10616115;7,701651093;62,9619169;558,8737312;600,2404485;590,4639324;59,12611694;12,30144738;64,70342752;589,9179349;703,3839556;684,6003305;332,0317545;3,861920916;1,24E-16;0,068777433
2210013O21Rik;972,3303703;1067,641383;972,0436294;985,5872138;933,9741379;930,2204411;991,9067976;954,240847;1052,90123;911,7954877;1017,055179;1027,429553;984,7605225;-0,046636123;0,60414544;1,032853848
2210016F16Rik;805,0841298;824,076667;809,6681595;934,6234578;863,145765;752,1222712;708,6309239;852,3145687;796,4403715;878,5768079;763,0074113;742,7966491;810,8739319;0,041961095;0,767772313;0,971333689
2210016L21Rik;1742,204765;1525,889623;1687,821211;1723,265987;1690,277103;1665,902881;1786,138219;1680,026243;1799,931711;1754,862672;1697,972325;1774,458662;1710,729284;0,01227727;0,907423497;0,991526152
2210408I21Rik;291,1574229;346,5742992;340,2152703;348,9721598;344,5380175;404,145847;321,2224861;357,6206489;352,9277865;365,4054781;358,6048422;386,211933;351,4663493;0,137299016;0,214878453;0,909219786
Zfp990;92,08699886;42,35908101;43,0792063;889,7062491;859,5443223;801,4417644;73,24578666;68,53663542;64,70342752;880,8677513;1055,940041;753,377798;468,7407552;3,754677486;1,55E-118;0,074084858
2300002M23Rik;14,219316;6,738944706;15,46433047;9,501717224;9,603847177;19,17980291;15,88462843;23,72421995;16,46996337;10,30924546;9,505188589;9,523033963;13,34368652;-0,476421041;0,412573786;1,39128795
2300009A05Rik;272,1983349;210,8326987;261,7890229;251,3636102;265,3062783;250,7074237;242,6818233;193,3084589;274,1072475;255,4401932;193,560204;238,0758491;242,4475954;-0,002610236;0,992942967;1,001810915
Gm14295;9,479544;7,701651093;57,43894174;240,134308;249,7000266;357,5663257;9,70727293;5,272048879;29,41064887;208,4758527;241,950255;244,4245384;138,4384512;3,721141746;1,23E-15;0,075827147
2310011J03Rik;1367,085667;1145,6206;1322,200255;1318,147317;1302,521773;1219,287471;1384,610112;1326,798968;1310,538514;1414,657572;1157,904792;1337,457214;1300,569188;-0,020598515;0,881376033;1,014380217
2310022A10Rik;1646,732215;1547,069163;1733,109607;1724,993572;1834,334811;1745,362065;1729,65954;1624,669729;1641,114207;1711,334747;1624,523141;1757,528824;1693,369302;0,066655974;0,310662366;0,954848681
2310022B05Rik;5469,696888;4587,295932;5168,400161;5372,789194;5326,53374;5733,391084;5213,688043;5381,004555;4865,69775;5556,683305;4900,356772;6042,894107;5301,535961;0,101329777;0,242104091;0,932173382
Col6a4;15,57353657;16,36600857;19,8827106;39,73445384;52,82115947;53,42945096;7,942314216;14,93747182;12,9406855;357,3871761;235,0373906;97,3465694;76,94991064;3,255802904;3,40E-09;0,104690112
Rps26-ps1;1581,052517;792,3073562;1155,406405;13444,92987;12061,23157;12955,95687;2001,463182;1609,732258;1261,128624;12077,8538;12800,89671;12189,48347;6994,286886;3,167812994;2,70E-85;0,111273889
2310034G01Rik;22,34463943;9,627063866;6,6275702;9,501717224;10,80432807;21,91977475;15,00214907;12,30144738;22,35209314;17,18207577;17,28216107;10,58114885;14,62718074;-0,037114704;0,969499827;1,026059721
2310035C23Rik;2000,860894;2029,385063;2087,684613;1846,788311;1780,31317;2104,298376;1999,698224;1808,312765;2019,923365;1888,882863;1869,929828;2010,418281;1953,874646;-0,055269069;0,520070882;1,039052874
2310036O22Rik;4040,994185;3515,803724;3532,494917;3985,538479;4014,40812;3614,022862;4096,469177;4099,896678;3950,438357;3791,511387;3164,363692;3706,576441;3792,709835;-0,061326766;0,597261169;1,043424899
2310039H08Rik;376,4733189;321,5439331;363,411766;362,7928394;366,1466736;317,8367339;360,0515778;376,07282;395,2791209;429,5518943;285,1556577;407,3742307;363,4742139;-0,01663202;0,945798141;1,011595146
2310057M21Rik;886,337364;1052,238081;955,4747039;1062,464744;947,1794278;913,78061;911,6011761;878,6748131;891,7308739;981,6692626;1010,142315;935,3735582;952,2222441;0,072192214;0,466050708;0,951191538
Cort;18,959088;17,32871496;17,67352053;138,206796;181,2726155;187,6880713;19,41454586;17,57349626;11,76425955;146,6203799;125,2956678;136,4968201;84,85783131;3,131893396;2,25E-53;0,114079115
Trim12a;41,30372743;27,91848521;40,87001623;245,3170629;225,6904086;245,2274801;31,76925686;27,23891921;31,76350078;296,677175;299,8454946;350,2360269;155,3214628;3,045808973;3,04E-70;0,121093307
2410004B18Rik;858,5758423;953,0793228;825,1324899;849,9717953;866,7472077;797,3318066;848,9451417;900,6416834;871,7316326;856,8128453;829,5437314;779,8306701;853,1953474;-0,07798542;0,322904025;1,05554305
2410004P03Rik;81,25323429;89,53169396;113,7732884;76,01373779;78,03125831;79,45918348;93,54281187;98,41157907;81,17339089;59,56452935;85,5466973;88,88165032;85,43192126;-0,248182611;0,238976442;1,187709992
2410015M20Rik;1507,247496;1370,893895;1401,731097;1604,926418;1653,062195;1565,893909;1685,535572;1646,6366;1616,409262;1742,262483;1493,178717;1641,136186;1577,409486;0,071292875;0,496905199;0,951784672
2410089E03Rik;3021,266095;2774,519806;3202,221002;2807,325543;2857,144535;3733,211638;3208,694943;2935,652551;3488,102956;3109,955715;2792,797229;3615,578561;3128,872548;0,021635268;0,913309873;0,985115461
Gm13305;223,4463943;221,4224689;241,9063123;1826,057292;2045,619449;1490,544683;249,7416581;213,5179796;229,4030612;2064,140036;1923,504527;1885,560725;1051,238716;3,027636927;2,64E-258;0,122628233
2410141K09Rik;18,28197772;18,29142135;24,30109073;34,55169899;34,81394601;36,9896199;31,76925686;17,57349626;43,52776033;29,78226467;38,88486241;24,33664235;29,42533647;0,39446599;0,352748005;0,760770922
2510002D24Rik;739,404432;806,747952;763,2751681;772,2304725;741,8971944;754,8622431;823,3532404;838,2557717;864,6730769;813,28492;694,742875;786,1793594;783,2422255;-0,082951125;0,359708032;1,059182451
2510009E07Rik;1609,491149;1890,755343;1933,041308;2010,908882;2129,653111;1805,641445;1984,696075;2123,757023;2296,383464;2272,615889;2411,725577;2363,828653;2069,374827;0,135747159;0,325905983;0,910198328
2510039O18Rik;3158,719483;2616,635959;3095,075284;2723,537673;2979,593587;2686,542393;3335,771971;3214,192466;2896,360701;2922,098353;2292,478666;3043,138409;2913,678745;-0,138556181;0,21786718;1,100802904
Dennd1c;33,178404;28,8811916;47,49758644;247,9084403;260,5043547;365,7862412;31,76925686;35,14699252;49,40989011;327,6049114;311,9430073;294,155938;169,4821845;3,018265948;1,06E-75;0,123427353
Gm10031;90,055668;77,01651093;82,8446275;824,058021;647,0592035;891,8608353;84,7180183;79,95940799;149,4060963;663,2281249;660,1785529;700,4720537;412,5714267;2,968091158;1,54E-80;0,127795491
